subject,section,passage_text,question_text,option_a,option_b,option_c,option_d,correct_option
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Suspect: I was at home all night reading. Detective: Was anyone with you? Suspect: No. I was alone.","to confirm","to appeal","to consent","to claim","to claim"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Son: I got a Grade 1, Mum. Mother: Oh, well done! I always expected you to do well.","to express appreciation","to express admiration","to express approval","to express surprise","to express admiration"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Mother: Don't you touch my cakes! They're for the party tonight.","to request","to appeal","to order","to invite","to order"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Joe: That remark was uncalled for. Raymond: I'm sorry. I shouldn't have said it.","To apologize","To wish","To blame","To forgive","To apologize"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Rooney: Are we going now? Mother: Yes. Don't forget to lock your room.","To instruct","To remind","To announce","To inform","To remind"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Charles: Gary, let's join Dark Glove's gang. Gary: No, I will never join them","To warn","To regret","To refuse","To apologize","To refuse"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Owen: Please forgive me for being rude. Teacher: You're forgiven.","To regret","To protest","To encourage","To forgive","To forgive"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Mother: I wonder why Sharon has not written for a long time. Barry: Don't worry. I'm sure he is fine.","To comfort","To compliment","To inform","To remind","To comfort"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Teenager: May I go, Mum? Please, Mum. Mother: Well, alright. But, be back by five.","to threaten","to persuade","to accept","to consent","to consent"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Officer: I need a man for a dangerous mission. He must attract the attention of the enemy. Private: Let me go. Sir.","to volunteer","to offer","to request","to suggest","to volunteer"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Boy: So, the fact is, I've lost your father's watch. Friend: Oh NO","to express surprise","to express dismay","to disapprove","to deny","to express dismay"
"اللغة الإنجليزية","الوظائف اللغوية (Functions)","","Girl 1: What shall I do? I can't get into this dress anymore and I haven't any other suitable one for the interview. Girl 2: Why not borrow one of mine?","to inquire","to offer","to volunteer","to advise","to offer"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A robot is a machine. But it is not just any machine. It is a special kind of machine. It is a machine that moves. It follows instructions. The instructions come from a computer. Because it is a machine, it does not make mistakes. And it does not get tired. And it never complains. Unless you tell it to. Robots are all around us. Some robots are used to make things. For example, robots can help make cars. Some robots are used to explore dangerous places. For example, robots can help explore volcanoes. Some robots are used to clean things. These robots can help vacuum your house. Some robots can even recognize words. They can be used to help answer telephone calls. Some robots look like humans. But most robots do not. Most robots just look like machines. Long ago, people imagined robots. Over 2,000 years ago, a famous poet imagined robots. The poet's name was Homer. His robots were made of gold. They cleaned things and made things. But they were not real. They were imaginary. Nobody was able to make a real robot. The first real robot was made in 1961. It was called Unimate. It was used to help make cars. It looked like a giant arm. In the future, we will have even more robots. They will do things that we can't do. Or they will do things that we don't want to do. Or they will do things that are too dangerous for us. Robots will help us fight fires. They will help us fight wars. They will help us fight sicknesses. They will help us discover things. They will help make better life.","As used in Paragraph 1, we can understand that something special is not:","Normal","Expensive","Perfect","Tired","Normal"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A robot is a machine. But it is not just any machine. It is a special kind of machine. It is a machine that moves. It follows instructions. The instructions come from a computer. Because it is a machine, it does not make mistakes. And it does not get tired. And it never complains. Unless you tell it to. Robots are all around us. Some robots are used to make things. For example, robots can help make cars. Some robots are used to explore dangerous places. For example, robots can help explore volcanoes. Some robots are used to clean things. These robots can help vacuum your house. Some robots can even recognize words. They can be used to help answer telephone calls. Some robots look like humans. But most robots do not. Most robots just look like machines. Long ago, people imagined robots. Over 2,000 years ago, a famous poet imagined robots. The poet's name was Homer. His robots were made of gold. They cleaned things and made things. But they were not real. They were imaginary. Nobody was able to make a real robot. The first real robot was made in 1961. It was called Unimate. It was used to help make cars. It looked like a giant arm. In the future, we will have even more robots. They will do things that we can't do. Or they will do things that we don't want to do. Or they will do things that are too dangerous for us. Robots will help us fight fires. They will help us fight wars. They will help us fight sicknesses. They will help us discover things. They will help make better life.","According to the author, robots may be used to:","Make cars","Explore volcanoes","Answer telephone calls","All of the above","All of the above"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A robot is a machine. But it is not just any machine. It is a special kind of machine. It is a machine that moves. It follows instructions. The instructions come from a computer. Because it is a machine, it does not make mistakes. And it does not get tired. And it never complains. Unless you tell it to. Robots are all around us. Some robots are used to make things. For example, robots can help make cars. Some robots are used to explore dangerous places. For example, robots can help explore volcanoes. Some robots are used to clean things. These robots can help vacuum your house. Some robots can even recognize words. They can be used to help answer telephone calls. Some robots look like humans. But most robots do not. Most robots just look like machines. Long ago, people imagined robots. Over 2,000 years ago, a famous poet imagined robots. The poet's name was Homer. His robots were made of gold. They cleaned things and made things. But they were not real. They were imaginary. Nobody was able to make a real robot. The first real robot was made in 1961. It was called Unimate. It was used to help make cars. It looked like a giant arm. In the future, we will have even more robots. They will do things that we can't do. Or they will do things that we don't want to do. Or they will do things that are too dangerous for us. Robots will help us fight fires. They will help us fight wars. They will help us fight sicknesses. They will help us discover things. They will help make better life.","What is the main purpose of paragraph 2?","To show how easy it is to make a robot","To tell what robot is","To describe the things a robot can do","To explain the difference between a robot and a machine","To describe the things a robot can do"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A robot is a machine. But it is not just any machine. It is a special kind of machine. It is a machine that moves. It follows instructions. The instructions come from a computer. Because it is a machine, it does not make mistakes. And it does not get tired. And it never complains. Unless you tell it to. Robots are all around us. Some robots are used to make things. For example, robots can help make cars. Some robots are used to explore dangerous places. For example, robots can help explore volcanoes. Some robots are used to clean things. These robots can help vacuum your house. Some robots can even recognize words. They can be used to help answer telephone calls. Some robots look like humans. But most robots do not. Most robots just look like machines. Long ago, people imagined robots. Over 2,000 years ago, a famous poet imagined robots. The poet's name was Homer. His robots were made of gold. They cleaned things and made things. But they were not real. They were imaginary. Nobody was able to make a real robot. The first real robot was made in 1961. It was called Unimate. It was used to help make cars. It looked like a giant arm. In the future, we will have even more robots. They will do things that we can't do. Or they will do things that we don't want to do. Or they will do things that are too dangerous for us. Robots will help us fight fires. They will help us fight wars. They will help us fight sicknesses. They will help us discover things. They will help make better life.","According to the passage, when was the first real robot made?","1961","1900","2003","2000 years ago","1961"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A robot is a machine. But it is not just any machine. It is a special kind of machine. It is a machine that moves. It follows instructions. The instructions come from a computer. Because it is a machine, it does not make mistakes. And it does not get tired. And it never complains. Unless you tell it to. Robots are all around us. Some robots are used to make things. For example, robots can help make cars. Some robots are used to explore dangerous places. For example, robots can help explore volcanoes. Some robots are used to clean things. These robots can help vacuum your house. Some robots can even recognize words. They can be used to help answer telephone calls. Some robots look like humans. But most robots do not. Most robots just look like machines. Long ago, people imagined robots. Over 2,000 years ago, a famous poet imagined robots. The poet's name was Homer. His robots were made of gold. They cleaned things and made things. But they were not real. They were imaginary. Nobody was able to make a real robot. The first real robot was made in 1961. It was called Unimate. It was used to help make cars. It looked like a giant arm. In the future, we will have even more robots. They will do things that we can't do. Or they will do things that we don't want to do. Or they will do things that are too dangerous for us. Robots will help us fight fires. They will help us fight wars. They will help us fight sicknesses. They will help us discover things. They will help make better life.","Using the information in the passage as a guide, which of these gives the best use of a robot?","To help make a sandwich","To help tie shoes","To help read a book","To help explore Mars","To help explore Mars"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A robot is a machine. But it is not just any machine. It is a special kind of machine. It is a machine that moves. It follows instructions. The instructions come from a computer. Because it is a machine, it does not make mistakes. And it does not get tired. And it never complains. Unless you tell it to. Robots are all around us. Some robots are used to make things. For example, robots can help make cars. Some robots are used to explore dangerous places. For example, robots can help explore volcanoes. Some robots are used to clean things. These robots can help vacuum your house. Some robots can even recognize words. They can be used to help answer telephone calls. Some robots look like humans. But most robots do not. Most robots just look like machines. Long ago, people imagined robots. Over 2,000 years ago, a famous poet imagined robots. The poet's name was Homer. His robots were made of gold. They cleaned things and made things. But they were not real. They were imaginary. Nobody was able to make a real robot. The first real robot was made in 1961. It was called Unimate. It was used to help make cars. It looked like a giant arm. In the future, we will have even more robots. They will do things that we can't do. Or they will do things that we don't want to do. Or they will do things that are too dangerous for us. Robots will help us fight fires. They will help us fight wars. They will help us fight sicknesses. They will help us discover things. They will help make better life.","Which of these statements correctly summarizes how the author of this passage feels about robots?","Robots are old","Robots are confusing","Robots are helpful","Robots are dangerous","Robots are helpful"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A robot is a machine. But it is not just any machine. It is a special kind of machine. It is a machine that moves. It follows instructions. The instructions come from a computer. Because it is a machine, it does not make mistakes. And it does not get tired. And it never complains. Unless you tell it to. Robots are all around us. Some robots are used to make things. For example, robots can help make cars. Some robots are used to explore dangerous places. For example, robots can help explore volcanoes. Some robots are used to clean things. These robots can help vacuum your house. Some robots can even recognize words. They can be used to help answer telephone calls. Some robots look like humans. But most robots do not. Most robots just look like machines. Long ago, people imagined robots. Over 2,000 years ago, a famous poet imagined robots. The poet's name was Homer. His robots were made of gold. They cleaned things and made things. But they were not real. They were imaginary. Nobody was able to make a real robot. The first real robot was made in 1961. It was called Unimate. It was used to help make cars. It looked like a giant arm. In the future, we will have even more robots. They will do things that we can't do. Or they will do things that we don't want to do. Or they will do things that are too dangerous for us. Robots will help us fight fires. They will help us fight wars. They will help us fight sicknesses. They will help us discover things. They will help make better life.","Unimate's job was to:","Build house","Build cars","Make medicines","Build websites","Build cars"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A robot is a machine. But it is not just any machine. It is a special kind of machine. It is a machine that moves. It follows instructions. The instructions come from a computer. Because it is a machine, it does not make mistakes. And it does not get tired. And it never complains. Unless you tell it to. Robots are all around us. Some robots are used to make things. For example, robots can help make cars. Some robots are used to explore dangerous places. For example, robots can help explore volcanoes. Some robots are used to clean things. These robots can help vacuum your house. Some robots can even recognize words. They can be used to help answer telephone calls. Some robots look like humans. But most robots do not. Most robots just look like machines. Long ago, people imagined robots. Over 2,000 years ago, a famous poet imagined robots. The poet's name was Homer. His robots were made of gold. They cleaned things and made things. But they were not real. They were imaginary. Nobody was able to make a real robot. The first real robot was made in 1961. It was called Unimate. It was used to help make cars. It looked like a giant arm. In the future, we will have even more robots. They will do things that we can't do. Or they will do things that we don't want to do. Or they will do things that are too dangerous for us. Robots will help us fight fires. They will help us fight wars. They will help us fight sicknesses. They will help us discover things. They will help make better life.","What is robot of Homer made of:","Ice","Wood","Iron","Gold","Gold"
"اللغة الإنجليزية","القطع الخارجية (Reading)","Many of the most damaging and life-threatening types of weather - torrential rains, severe thunderstorms, and tornadoes - begin quickly, strike suddenly, and dissipate rapidly, devastating small regions while leaving neighboring areas untouched. One such event, a tornado, stuck the northeastern section of Edmonton, Alberta, in July 1987. Total damages from the tornado exceeded $250 million, the highest ever for any Canadian storm. Conventional computer models of the atmosphere have limited value in predicting short-lived local storms like the Edmonton tornado, because the available weather data are generally not detailed enough to allow computers to discern the subtle atmospheric changes that precede these storms. In most nations, for example, weather-balloon observations are taken just once every twelve hours at locations typically separated by hundreds of miles. With such limited data, conventional forecasting models do a much better job predicting general weather conditions over large regions than they do forecasting specific local events. Until recently, the observation-intensive approach needed for accurate, very short-range forecasts, or 'Nowcasts,' was not feasible. The cost of equipping and operating many thousands of conventional weather stations was prohibitively high, and the difficulties involved in rapidly collecting and processing the raw weather data from such a network were insurmountable. Fortunately, scientific and technological advances have overcome most of these problems. Radar systems, automated weather instruments, and satellites are all capable of making detailed, nearly continuous observation over large regions at a relatively low cost. Communications satellites can transmit data around the world cheaply and instantaneously, and modern computer scan quickly compile and analyzing this large volume of weather information. Meteorologists and computer scientists now work together to design computer programs and video equipment capable of transforming raw weather data into words, symbols, and vivid graphic displays that forecasters can interpret easily and quickly. As meteorologists have begun using these new technologies in weather forecasting offices, Nowcasting is becoming a reality.","What does the passage mainly discuss?","Computers and weather","Dangerous storms","Weather forecasting","Satellites","Weather forecasting"
"اللغة الإنجليزية","القطع الخارجية (Reading)","Many of the most damaging and life-threatening types of weather - torrential rains, severe thunderstorms, and tornadoes - begin quickly, strike suddenly, and dissipate rapidly, devastating small regions while leaving neighboring areas untouched. One such event, a tornado, stuck the northeastern section of Edmonton, Alberta, in July 1987. Total damages from the tornado exceeded $250 million, the highest ever for any Canadian storm. Conventional computer models of the atmosphere have limited value in predicting short-lived local storms like the Edmonton tornado, because the available weather data are generally not detailed enough to allow computers to discern the subtle atmospheric changes that precede these storms. In most nations, for example, weather-balloon observations are taken just once every twelve hours at locations typically separated by hundreds of miles. With such limited data, conventional forecasting models do a much better job predicting general weather conditions over large regions than they do forecasting specific local events. Until recently, the observation-intensive approach needed for accurate, very short-range forecasts, or 'Nowcasts,' was not feasible. The cost of equipping and operating many thousands of conventional weather stations was prohibitively high, and the difficulties involved in rapidly collecting and processing the raw weather data from such a network were insurmountable. Fortunately, scientific and technological advances have overcome most of these problems. Radar systems, automated weather instruments, and satellites are all capable of making detailed, nearly continuous observation over large regions at a relatively low cost. Communications satellites can transmit data around the world cheaply and instantaneously, and modern computer scan quickly compile and analyzing this large volume of weather information. Meteorologists and computer scientists now work together to design computer programs and video equipment capable of transforming raw weather data into words, symbols, and vivid graphic displays that forecasters can interpret easily and quickly. As meteorologists have begun using these new technologies in weather forecasting offices, Nowcasting is becoming a reality.","Why does the author mention the tornado in Edmonton, Canada?","To indicate that tornadoes are common in the summer","To give an example of a damaging storm","To explain different types of weather","To show that tornadoes occur frequently in Canada","To give an example of a damaging storm"
"اللغة الإنجليزية","القطع الخارجية (Reading)","Many of the most damaging and life-threatening types of weather - torrential rains, severe thunderstorms, and tornadoes - begin quickly, strike suddenly, and dissipate rapidly, devastating small regions while leaving neighboring areas untouched. One such event, a tornado, stuck the northeastern section of Edmonton, Alberta, in July 1987. Total damages from the tornado exceeded $250 million, the highest ever for any Canadian storm. Conventional computer models of the atmosphere have limited value in predicting short-lived local storms like the Edmonton tornado, because the available weather data are generally not detailed enough to allow computers to discern the subtle atmospheric changes that precede these storms. In most nations, for example, weather-balloon observations are taken just once every twelve hours at locations typically separated by hundreds of miles. With such limited data, conventional forecasting models do a much better job predicting general weather conditions over large regions than they do forecasting specific local events. Until recently, the observation-intensive approach needed for accurate, very short-range forecasts, or 'Nowcasts,' was not feasible. The cost of equipping and operating many thousands of conventional weather stations was prohibitively high, and the difficulties involved in rapidly collecting and processing the raw weather data from such a network were insurmountable. Fortunately, scientific and technological advances have overcome most of these problems. Radar systems, automated weather instruments, and satellites are all capable of making detailed, nearly continuous observation over large regions at a relatively low cost. Communications satellites can transmit data around the world cheaply and instantaneously, and modern computer scan quickly compile and analyzing this large volume of weather information. Meteorologists and computer scientists now work together to design computer programs and video equipment capable of transforming raw weather data into words, symbols, and vivid graphic displays that forecasters can interpret easily and quickly. As meteorologists have begun using these new technologies in weather forecasting offices, Nowcasting is becoming a reality.","Why does the author state in line 10 that observations are taken 'just once every twelve hours'?","To indicate that the observations are timely","To show why the observations are of limited value","To compare data from balloons and computers","To give an example of international cooperation","To show why the observations are of limited value"
"اللغة الإنجليزية","القطع الخارجية (Reading)","Many of the most damaging and life-threatening types of weather - torrential rains, severe thunderstorms, and tornadoes - begin quickly, strike suddenly, and dissipate rapidly, devastating small regions while leaving neighboring areas untouched. One such event, a tornado, stuck the northeastern section of Edmonton, Alberta, in July 1987. Total damages from the tornado exceeded $250 million, the highest ever for any Canadian storm. Conventional computer models of the atmosphere have limited value in predicting short-lived local storms like the Edmonton tornado, because the available weather data are generally not detailed enough to allow computers to discern the subtle atmospheric changes that precede these storms. In most nations, for example, weather-balloon observations are taken just once every twelve hours at locations typically separated by hundreds of miles. With such limited data, conventional forecasting models do a much better job predicting general weather conditions over large regions than they do forecasting specific local events. Until recently, the observation-intensive approach needed for accurate, very short-range forecasts, or 'Nowcasts,' was not feasible. The cost of equipping and operating many thousands of conventional weather stations was prohibitively high, and the difficulties involved in rapidly collecting and processing the raw weather data from such a network were insurmountable. Fortunately, scientific and technological advances have overcome most of these problems. Radar systems, automated weather instruments, and satellites are all capable of making detailed, nearly continuous observation over large regions at a relatively low cost. Communications satellites can transmit data around the world cheaply and instantaneously, and modern computer scan quickly compile and analyzing this large volume of weather information. Meteorologists and computer scientists now work together to design computer programs and video equipment capable of transforming raw weather data into words, symbols, and vivid graphic displays that forecasters can interpret easily and quickly. As meteorologists have begun using these new technologies in weather forecasting offices, Nowcasting is becoming a reality.","Which of the following is NOT mentioned as an advance in short-range weather forecasting?","Weather balloons","Radar systems","Automated instruments","Satellites","Weather balloons"
"اللغة الإنجليزية","القطع الخارجية (Reading)","Many of the most damaging and life-threatening types of weather - torrential rains, severe thunderstorms, and tornadoes - begin quickly, strike suddenly, and dissipate rapidly, devastating small regions while leaving neighboring areas untouched. One such event, a tornado, stuck the northeastern section of Edmonton, Alberta, in July 1987. Total damages from the tornado exceeded $250 million, the highest ever for any Canadian storm. Conventional computer models of the atmosphere have limited value in predicting short-lived local storms like the Edmonton tornado, because the available weather data are generally not detailed enough to allow computers to discern the subtle atmospheric changes that precede these storms. In most nations, for example, weather-balloon observations are taken just once every twelve hours at locations typically separated by hundreds of miles. With such limited data, conventional forecasting models do a much better job predicting general weather conditions over large regions than they do forecasting specific local events. Until recently, the observation-intensive approach needed for accurate, very short-range forecasts, or 'Nowcasts,' was not feasible. The cost of equipping and operating many thousands of conventional weather stations was prohibitively high, and the difficulties involved in rapidly collecting and processing the raw weather data from such a network were insurmountable. Fortunately, scientific and technological advances have overcome most of these problems. Radar systems, automated weather instruments, and satellites are all capable of making detailed, nearly continuous observation over large regions at a relatively low cost. Communications satellites can transmit data around the world cheaply and instantaneously, and modern computer scan quickly compile and analyzing this large volume of weather information. Meteorologists and computer scientists now work together to design computer programs and video equipment capable of transforming raw weather data into words, symbols, and vivid graphic displays that forecasters can interpret easily and quickly. As meteorologists have begun using these new technologies in weather forecasting offices, Nowcasting is becoming a reality.","Which of the following would best illustrate Nowcasting?","A five-day forecast","A warning about a severe thunderstorm on the radio","The average rainfall for each month","A list of temperatures in major cities","A warning about a severe thunderstorm on the radio"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A remarkable woman named Farima lived In the busy city of Cairo, Egypt. As a widow, she faced the task of raising her two children, Zaki and Hala, single-handedly. Despite the challenges, Fatima was determined to provide her children a brighter future. Fatima worked tirelessly, juggling multiple jobs to make ends meet. Her days were long, often starting before dawn and ending well past sunset. Yet, her untiring determination never stopped. She knew education was the key to success and spared no effort to ensure that Zaki and Hala received the best education possible. Zaki, the elder of the two, has harbored a passion for medicine from a young age. His mother's sacrifices inspired him and motivated him to excel academically. With Fatima's guidance and support, Zaki pursued his dream relentlessly. He spent countless hours studying, determined to become a doctor and make his mother proud. Hala, on the other hand, had a keen interest in engineering. From playing with devices to dismantling and reassembling household appliances, her curiosity knew no limits. Fatima recognized her daughter's potential and encouraged her to follow her passion passionately. With her mother's endless support, Hala set her sights on becoming an engineer. Despite the financial hardships and societal pressures, Fatima remained steadfast in her decision. Her sacrifices and steadfast support paved the way for Zaki to fulfill his dream of becoming a doctor and Hala to follow her engineering career. Through her courage and determination, Fatima proved that with love and perseverance, anything is possible.","Why Fatima juggled multiple jobs?","She loves money","She plans to buy a house","She wants to provide a good future for her children","None of the above","She wants to provide a good future for her children"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A remarkable woman named Farima lived In the busy city of Cairo, Egypt. As a widow, she faced the task of raising her two children, Zaki and Hala, single-handedly. Despite the challenges, Fatima was determined to provide her children a brighter future. Fatima worked tirelessly, juggling multiple jobs to make ends meet. Her days were long, often starting before dawn and ending well past sunset. Yet, her untiring determination never stopped. She knew education was the key to success and spared no effort to ensure that Zaki and Hala received the best education possible. Zaki, the elder of the two, has harbored a passion for medicine from a young age. His mother's sacrifices inspired him and motivated him to excel academically. With Fatima's guidance and support, Zaki pursued his dream relentlessly. He spent countless hours studying, determined to become a doctor and make his mother proud. Hala, on the other hand, had a keen interest in engineering. From playing with devices to dismantling and reassembling household appliances, her curiosity knew no limits. Fatima recognized her daughter's potential and encouraged her to follow her passion passionately. With her mother's endless support, Hala set her sights on becoming an engineer. Despite the financial hardships and societal pressures, Fatima remained steadfast in her decision. Her sacrifices and steadfast support paved the way for Zaki to fulfill his dream of becoming a doctor and Hala to follow her engineering career. Through her courage and determination, Fatima proved that with love and perseverance, anything is possible.","What's Fatima perspective on education?","Key for successful life","Stressful work","Too expensive","Not important","Key for successful life"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A remarkable woman named Farima lived In the busy city of Cairo, Egypt. As a widow, she faced the task of raising her two children, Zaki and Hala, single-handedly. Despite the challenges, Fatima was determined to provide her children a brighter future. Fatima worked tirelessly, juggling multiple jobs to make ends meet. Her days were long, often starting before dawn and ending well past sunset. Yet, her untiring determination never stopped. She knew education was the key to success and spared no effort to ensure that Zaki and Hala received the best education possible. Zaki, the elder of the two, has harbored a passion for medicine from a young age. His mother's sacrifices inspired him and motivated him to excel academically. With Fatima's guidance and support, Zaki pursued his dream relentlessly. He spent countless hours studying, determined to become a doctor and make his mother proud. Hala, on the other hand, had a keen interest in engineering. From playing with devices to dismantling and reassembling household appliances, her curiosity knew no limits. Fatima recognized her daughter's potential and encouraged her to follow her passion passionately. With her mother's endless support, Hala set her sights on becoming an engineer. Despite the financial hardships and societal pressures, Fatima remained steadfast in her decision. Her sacrifices and steadfast support paved the way for Zaki to fulfill his dream of becoming a doctor and Hala to follow her engineering career. Through her courage and determination, Fatima proved that with love and perseverance, anything is possible.","What is Zaki fond of?","Computer and technology","Medicine","Engineering","Arts","Medicine"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A remarkable woman named Farima lived In the busy city of Cairo, Egypt. As a widow, she faced the task of raising her two children, Zaki and Hala, single-handedly. Despite the challenges, Fatima was determined to provide her children a brighter future. Fatima worked tirelessly, juggling multiple jobs to make ends meet. Her days were long, often starting before dawn and ending well past sunset. Yet, her untiring determination never stopped. She knew education was the key to success and spared no effort to ensure that Zaki and Hala received the best education possible. Zaki, the elder of the two, has harbored a passion for medicine from a young age. His mother's sacrifices inspired him and motivated him to excel academically. With Fatima's guidance and support, Zaki pursued his dream relentlessly. He spent countless hours studying, determined to become a doctor and make his mother proud. Hala, on the other hand, had a keen interest in engineering. From playing with devices to dismantling and reassembling household appliances, her curiosity knew no limits. Fatima recognized her daughter's potential and encouraged her to follow her passion passionately. With her mother's endless support, Hala set her sights on becoming an engineer. Despite the financial hardships and societal pressures, Fatima remained steadfast in her decision. Her sacrifices and steadfast support paved the way for Zaki to fulfill his dream of becoming a doctor and Hala to follow her engineering career. Through her courage and determination, Fatima proved that with love and perseverance, anything is possible.","When does Fatima start work?","From dawn","From noon","In the evening","At night","From dawn"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A remarkable woman named Farima lived In the busy city of Cairo, Egypt. As a widow, she faced the task of raising her two children, Zaki and Hala, single-handedly. Despite the challenges, Fatima was determined to provide her children a brighter future. Fatima worked tirelessly, juggling multiple jobs to make ends meet. Her days were long, often starting before dawn and ending well past sunset. Yet, her untiring determination never stopped. She knew education was the key to success and spared no effort to ensure that Zaki and Hala received the best education possible. Zaki, the elder of the two, has harbored a passion for medicine from a young age. His mother's sacrifices inspired him and motivated him to excel academically. With Fatima's guidance and support, Zaki pursued his dream relentlessly. He spent countless hours studying, determined to become a doctor and make his mother proud. Hala, on the other hand, had a keen interest in engineering. From playing with devices to dismantling and reassembling household appliances, her curiosity knew no limits. Fatima recognized her daughter's potential and encouraged her to follow her passion passionately. With her mother's endless support, Hala set her sights on becoming an engineer. Despite the financial hardships and societal pressures, Fatima remained steadfast in her decision. Her sacrifices and steadfast support paved the way for Zaki to fulfill his dream of becoming a doctor and Hala to follow her engineering career. Through her courage and determination, Fatima proved that with love and perseverance, anything is possible.","The word determination is probably close to the meaning of:","Fun","Continuous","Sleep","Laziness","Continuous"
"اللغة الإنجليزية","القطع الخارجية (Reading)","A remarkable woman named Farima lived In the busy city of Cairo, Egypt. As a widow, she faced the task of raising her two children, Zaki and Hala, single-handedly. Despite the challenges, Fatima was determined to provide her children a brighter future. Fatima worked tirelessly, juggling multiple jobs to make ends meet. Her days were long, often starting before dawn and ending well past sunset. Yet, her untiring determination never stopped. She knew education was the key to success and spared no effort to ensure that Zaki and Hala received the best education possible. Zaki, the elder of the two, has harbored a passion for medicine from a young age. His mother's sacrifices inspired him and motivated him to excel academically. With Fatima's guidance and support, Zaki pursued his dream relentlessly. He spent countless hours studying, determined to become a doctor and make his mother proud. Hala, on the other hand, had a keen interest in engineering. From playing with devices to dismantling and reassembling household appliances, her curiosity knew no limits. Fatima recognized her daughter's potential and encouraged her to follow her passion passionately. With her mother's endless support, Hala set her sights on becoming an engineer. Despite the financial hardships and societal pressures, Fatima remained steadfast in her decision. Her sacrifices and steadfast support paved the way for Zaki to fulfill his dream of becoming a doctor and Hala to follow her engineering career. Through her courage and determination, Fatima proved that with love and perseverance, anything is possible.","What is Hala good at?","Arts","Cooking","Dismantle devices","Sports","Dismantle devices"
